Afrekening servicekosten 2024 - Kastanjelaan 42-3
Omschrijving;Totaal complex;Uw aandeel
Schoonmaak gemeenschappelijke ruimten;10.080,00;210,00
Glasbewassing buitenzijde;4.320,00;90,00
Huismeester;34.000,00;226,67
Tuinonderhoud binnentuin;5.760,00;120,00
Opstalverzekering;4.224,00;88,00
Glasverzekering (onderdeel opstalpolis);2.304,00;48,00
Gemeenschappelijke wasmachines en wasdrogers;4.032,00;84,00
Onderhoudscontract cv met 24-uursservice;5.280,00;110,00
Leegstandsderving servicekosten;5.760,00;120,00
Rioolheffing;6.240,00;130,00
Elektriciteit algemene ruimten;3.120,00;65,00
Administratiekosten;4.560,00;95,00
Totaal servicekosten;;1.386,67
Betaald voorschot;;1.800,00
